packing;material
removal;efficiency
pressure;drop
loading;rate
biotrickling;filter
wood;chip
elimination;capacity
glass;sphere
wastewater;treatment
flow;rate
peat;granule
polyurethane;foam
fluidized;bioreactor
long;term
influent;effluent
moisture;content
surface;area
mass;transfer
fixed;medium
organic;matter
carrier;material
sulfate;reducing
sand;bioreactors
hydrogen;sulfide
superficial;velocity
activated;carbon
carbon;source
medium;bioreactors
residence;time
desulfovibrio;desulfuricans
pilot;scale
inlet;load
organic;loading
nitrogen;concentration
sulfate;reduction
volumetric;productivity
feed;rate
effluent;removal
binary;mixture
inlet;concentration
particle;size
reducing;bacteria
influent;concentration
waste;management
minimum;fluidization
steady;state
biomass;concentration
sawdust;glass
filter;medium
removal;rate
dissolved;sulfide
organic;material
nutrient;solution
organic;carbon
liquid;phase
mine;drainage
fluidization;velocity
microbial;growth
material;method
result;discussion
specific;surface
acid;mine
organic;compound
inlet;outlet
ethanol;concentration
stage;biofilter
poplar;wood
solid;fluidized
retention;time
operating;condition
biological;treatment
oyster;shell
effluent;concentration
treatment;plant
first;order
management;association
biofilter;medium
hydraulic;loading
experimental;period
biofilter;system
microbial;community
figure;show
shown;figure
sampling;port
hour;influent
filter;packed
treatment;performance
treatment;system
environmental;engineering
slaughterhouse;wastewater
water;content
peat;sand
activated;sludge
growth;rate
volatile;organic
experimental;data
material;used
transfer;coefficient
date;hour
column;date
pine;bark
plug;flow
calibration;curve
nitrogen;removal
reactive;mixture
ethanol;loading
measured;using
organic;medium
trickling;filter
packed;fluidized
standard;method
three;stage
sawdust;moisture
sewer;overflow
size;distribution
linear;regression
science;technology
maximum;elimination
scanning;electron
journal;waste
water;treatment
removal;column
high;concentration
partial;pressure
bioresource;technology
aged;refuse
coconut;fiber
pollution;control
water;holding
treatment;wastewater
moist;sawdust
holding;capacity
sawdust;particle
liquid;feed
liquid;biofilm
sanitary;sewer
volumetric;rate
fprintf;outfile
pollutant;removal
particulate;region
relative;humidity
sgbr;system
biofilter;performance
packed;polyurethane
regression;model
time;course
zero;order
kunii;levenspiel
fluidized;bed
bioremediation;experiment
waste;gas
landfill;leachate
oxygen;demand
bulk;density
environmental;science
inlet;ethanol
shown;table
sawdust;sphere
glass;bead
outlet;concentration
nitrifying;bacteria
pollutant;concentration
chemical;engineering
biomass;growth
packed;bioreactor
shock;load
pine;leaf
packing;medium
treatment;technology
aerated;filter
physical;chemical
pwcr;pufr
term;performance
heavy;metal
time;day
nitrate;removal
adsorption;capacity
mass;balance
sphagnum;peat
present;study
nitrogen;phosphorus
microbiol;biotechnol
chip;bark
plastic;ball
journal;environmental
storm;water
drop;across
fluidized;packed
biological;aerated
concentration;ethanol
immobilization;potential
sphere;sawdust
poultry;manure
rate;constant
felt;sand
day;operation
total;dissolved
orifice;plate
empty;residence
result;showed
