packing;material
pressure;drop
removal;efficiency
wood;chip
glass;sphere
biotrickling;filter
polyurethane;foam
elimination;capacity
long;term
peat;granule
mass;transfer
loading;rate
desulfovibrio;desulfuricans
surface;area
moisture;content
superficial;velocity
organic;matter
influent;effluent
sulfate;reducing
volumetric;productivity
flow;rate
hydrogen;sulfide
pilot;scale
fixed;medium
activated;carbon
residence;time
wastewater;treatment
steady;state
fluidized;bioreactor
mine;drainage
oyster;shell
binary;mixture
carbon;source
minimum;fluidization
poplar;wood
sulfate;reduction
acid;mine
management;association
aged;refuse
reducing;bacteria
fprintf;outfile
sand;bioreactors
waste;management
kunii;levenspiel
carrier;material
sewer;overflow
scanning;electron
feed;rate
sanitary;sewer
result;discussion
particulate;region
inlet;load
sampling;port
dissolved;sulfide
linear;regression
coconut;fiber
calibration;curve
pine;bark
specific;surface
nutrient;solution
date;hour
particle;size
sawdust;glass
retention;time
inlet;outlet
oxygen;demand
bioresource;technology
poultry;manure
plastic;ball
first;order
holding;capacity
transfer;coefficient
column;date
operating;condition
slaughterhouse;wastewater
microbial;community
relative;humidity
bone;char
reactive;mixture
landfill;leachate
heavy;metal
organic;loading
http;tandfonline
hydraulic;loading
fluidization;velocity
activated;sludge
plug;flow
pine;leaf
environmental;engineering
pwcr;pufr
microbial;growth
microbiol;biotechnol
organic;compound
zero;order
orifice;plate
hour;influent
partial;pressure
nitrogen;concentration
volatile;organic
size;distribution
medium;bioreactors
treatment;plant
trickling;filter
water;holding
empty;residence
bulk;density
experimental;period
coconut;fibre
pollution;control
kennes;thalasso
stage;biofilter
glass;bead
shock;load
liquid;phase
breakthrough;curve
peanut;shell
science;technology
time;course
moist;sawdust
three;stage
organic;carbon
appl;microbiol
regression;model
biotechnology;bioengineering
nitrifying;bacteria
solid;fluidized
sphagnum;peat
public;health
aerated;filter
maximum;elimination
influent;concentration
standard;method
biological;aerated
waste;gas
bench;scale
inlet;concentration
drop;across
physical;chemical
liquid;feed
environmental;science
standard;deviation
chem;technol
figure;show
storm;water
immobilization;potential
mass;balance
experimental;data
effluent;removal
shown;figure
nitrogen;phosphorus
chip;bark
journal;waste
fluidized;bed
technol;biotechnol
natural;zeolite
chemical;engineering
bioremediation;experiment
sawdust;moisture
filter;medium
biological;treatment
biomass;concentration
present;work
peat;heather
research;press
measured;using
packed;polyurethane
short;term
domestic;wastewater
published;research
granular;sludge
sewage;sludge
hydraulic;retention
adsorption;capacity
sulphate;reduction
sulphate;reducing
ethanol;loading
journal;environmental
ethanol;concentration
leaf;compost
peat;sand
sgbr;system
prey;total
theta;total
liquid;biofilm
sawdust;sphere
filter;packed
full;scale
fluidization;behaviour
order;kinetics
suspended;biomass
water;content
municipal;wastewater
volumetric;rate
felt;sand
material;method
growth;rate
table;summary
significant;difference
shown;table
present;study
