inorganic;packing;material
packing;material;used
different;packing;material
organic;packing;material
pressure;drop;across
poplar;wood;chip
sawdust;glass;sphere
wood;chip;bark
biotrickling;filter;packed
maximum;elimination;capacity
packed;polyurethane;foam
performance;biotrickling;filter
specific;surface;area
mass;transfer;coefficient
organic;loading;rate
hydraulic;loading;rate
long;term;performance
sulfate;reducing;bacteria
fixed;medium;bioreactors
acid;mine;drainage
hour;influent;effluent
waste;management;association
influent;effluent;removal
minimum;fluidization;velocity
empty;residence;time
wastewater;treatment;plant
sanitary;sewer;overflow
solid;fluidized;bioreactor
journal;waste;management
date;hour;influent
column;date;hour
volatile;organic;compound
linear;regression;model
water;holding;capacity
total;dissolved;sulfide
removal;column;date
three;stage;biofilter
chem;technol;biotechnol
biological;aerated;filter
effluent;removal;column
published;research;press
filter;packed;polyurethane
suspended;biomass;concentration
