packing,material
packing,materials
removal,efficiency
pressure,drop
wastewater,treatment
wood,chips
peat,granules
elimination,capacity
polyurethane,foam
fluidized,bioreactor
long,term
influent,effluent
glass,spheres
mass,transfer
surface,area
flow,rate
fixed,media
organic,matter
biotrickling,filters
loading,rates
moisture,content
sand,bioreactors
sulfate,reducing
hydrogen,sulfide
activated,carbon
media,bioreactors
desulfovibrio,desulfuricans
pilot,scale
loading,rate
superficial,velocity
sulfate,reduction
organic,loading
effluent,removal
reducing,bacteria
waste,management
residence,time
minimum,fluidization
biotrickling,filter
sawdust,glass
steady,state
carbon,source
particle,size
organic,carbon
carrier,material
mine,drainage
microbial,growth
nitrogen,concentration
specific,surface
stage,biofilter
acid,mine
