pack,materi
pressur,drop
wood,chip
remov,effici
glass,sphere
biotrickl,filter
polyurethan,foam
elimin,capac
long,term
peat,granul
desulfovibrio,desulfurican
mass,transfer
surfac,area
moistur,content
superfici,veloc
load,rate
organ,matter
influent,effluent
hydrogen,sulfid
flow,rate
pilot,scale
sulfat,reduc
fix,medium
wast,manag
resid,time
wastewat,treatment
steadi,state
oyster,shell
binari,mixtur
mine,drainag
carbon,sourc
poplar,wood
activ,carbon
fluidiz,bioreactor
sulfat,reduct
age,refus
fprintf,outfil
volumetr,product
sand,bioreactor
acid,mine
kunii,levenspiel
carrier,materi
sewer,overflow
scan,electron
minimum,fluidiz
sanitari,sewer
feed,rate
particul,region
manag,associ
inlet,load
