WORD;DEFINITION;LEMMAS;HYPONYMS;HYPERNYMS;HOLONYMS
wastewater;water mixed with waste matter;['effluent', 'wastewater', 'sewer_water'];[];['waste.n.01'];[]
process;a particular course of action intended to achieve a result;['procedure', 'process'];['bertillon_system.n.01', 'calculation.n.01', 'condition.n.08', 'diagnostic_procedure.n.01', 'emergency_procedure.n.01', 'experimental_procedure.n.01', 'fingerprinting.n.01', 'genetic_profiling.n.01', 'indirection.n.01', 'mapping.n.02', 'medical_procedure.n.01', 'operating_procedure.n.01', 'rigmarole.n.02', 'routine.n.01', 'rule.n.11', 'stiffening.n.01'];['activity.n.01'];[]
process;(psychology) the performance of some composite cognitive activity, an operation that affects mental contents;['process', 'cognitive_process', 'mental_process', 'operation', 'cognitive_operation'];['basic_cognitive_process.n.01', 'higher_cognitive_process.n.01'];['cognition.n.01'];[]
process;a writ issued by authority of law, usually compels the defendant's attendance in a civil suit, failure to appear results in a default judgment against the defendant;['summons', 'process'];['citation.n.05', 'monition.n.03', 'ticket.n.03'];['writ.n.01'];[]
process;a mental process that you are not directly aware of;['process', 'unconscious_process'];['condensation.n.01', 'defense_mechanism.n.01', 'sleep_talking.n.01'];['cognition.n.01'];[]
process;a natural prolongation or projection from a part of an organism either animal or plant;['process', 'outgrowth', 'appendage'];['acromion.n.01', 'acrosome.n.01', 'aculea.n.01', 'ala.n.01', 'alveolar_arch.n.01', 'alveolar_ridge.n.01', 'apophysis.n.02', 'appendix.n.02', 'arista.n.01', 'caruncle.n.01', 'cirrus.n.03', 'condyle.n.01', 'coronoid_process.n.01', 'crest.n.05', 'epicondyle.n.01', 'excrescence.n.02', 'fetlock.n.02', 'fimbria.n.01', 'flagellum.n.02', 'hair.n.06', 'horn.n.02', 'horn.n.06', 'mastoid.n.01', 'metaphysis.n.01', 'odontoid_process.n.01', 'olecranon.n.01', 'osteophyte.n.01', 'papilla.n.01', 'papilla.n.02', 'papilla.n.03', 'plant_process.n.01', 'pseudopod.n.01', 'pterygoid_process.n.01', 'ridge.n.05', 'spicule.n.01', 'spine.n.05', 'style.n.09', 'styloid_process.n.01', 'tail.n.01', 'tentacle.n.02', 'transverse_process.n.01', 'trochanter.n.01', 'tuberosity.n.01', 'villus.n.01', 'zygomatic_process.n.01'];['body_part.n.01'];[]
process;a sustained phenomenon or one marked by gradual changes through a series of states;['process', 'physical_process'];['chelation.n.01', 'dealignment.n.01', 'decrease.n.02', 'degeneration.n.01', 'development.n.02', 'economic_process.n.01', 'encapsulation.n.02', 'execution.n.03', 'human_process.n.01', 'increase.n.03', 'industrial_process.n.01', 'irreversible_process.n.01', 'iteration.n.01', 'iteration.n.02', 'natural_process.n.01', 'operation.n.08', 'organic_process.n.01', 'phenomenon.n.01', 'photography.n.02', 'processing.n.01', 'reversible_process.n.01', 'sensitization.n.02', 'shaping.n.01', 'variation.n.07'];['physical_entity.n.01'];[]
process;subject to a process or treatment, with the aim of readying for some purpose, improving, or remedying a condition;['process', 'treat'];['agenize.v.01', 'air-condition.v.01', 'ammoniate.v.01', 'beneficiate.v.01', 'bituminize.v.01', 'bromate.v.02', 'camphorate.v.01', 'carbonate.v.02', 'carboxylate.v.01', 'chlorinate.v.01', 'chrome.v.02', 'creosote.v.01', 'curry.v.02', 'digest.v.01', 'dose.v.01', 'fluoridate.v.01', 'fumigate.v.01', 'iodize.v.01', 'irradiate.v.03', 'malt.v.01', 'mercerize.v.01', 'nitrate.v.01', 'nitrify.v.02', 'oxygenate.v.01', 'propagate.v.07', 'refine.v.03', 'reverberate.v.06', 'run.v.15', 'scald.v.02', 'seed.v.06', 'sulphur.v.01', 'tank.v.03', 'vulcanize.v.02'];['affect.v.01'];[]
process;deal with in a routine way;['process'];[];['manage.v.02'];[]
process;perform mathematical and logical operations on (data) according to programmed instructions in order to obtain the required information;['process'];[];['calculate.v.01'];[]
process;institute legal proceedings against, file a suit against;['action', 'sue', 'litigate', 'process'];['expedite.v.02'];['challenge.v.02'];[]
process;march in a procession;['march', 'process'];['countermarch.v.01', 'debouch.v.01', 'file.v.03', 'goose_step.v.01', 'parade.v.02'];['walk.v.01'];[]
process;shape, form, or improve a material;['work', 'work_on', 'process'];['coldwork.v.01', 'hot-work.v.01', 'overwork.v.01', 'rack.v.09', 'rework.v.01', 'till.v.01', 'tool.v.04'];['transform.v.02'];[]
process;deliver a warrant or summons to someone;['serve', 'process', 'swear_out'];['subpoena.v.01', 'wash.v.01'];['deliver.v.02'];[]
recovery;return to an original state;['recovery'];[];['improvement.n.01'];[]
recovery;gradual healing (through rest) after sickness or injury;['convalescence', 'recuperation', 'recovery'];['lysis.n.01', 'rally.n.03'];['healing.n.01'];[]
recovery;the act of regaining or saving something lost (or in danger of becoming lost);['recovery', 'retrieval'];['ransom.n.03', 'recapture.n.02', 'reclamation.n.03', 'repossession.n.01', 'rescue.n.01'];['act.n.02'];[]
treatment;care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury);['treatment', 'intervention'];['acupressure.n.01', 'acupuncture.n.01', 'autogenic_therapy.n.01', 'chiropractic.n.01', 'detoxification.n.01', 'fomentation.n.02', 'hydropathy.n.01', 'massage.n.01', 'medical_care.n.01', 'modality.n.04', 'naprapathy.n.01', 'naturopathy.n.01', 'orthodontic_treatment.n.01', 'orthoptics.n.01', 'osteoclasis.n.01', 'osteopathy.n.01', 'rest-cure.n.01'];['care.n.01'];[]
treatment;the management of someone or something;['treatment', 'handling'];['bioremediation.n.02', 'dealing.n.01'];['management.n.01'];[]
treatment;a manner of dealing with something artistically;['treatment'];[];['artistic_style.n.01'];[]
treatment;an extended communication (often interactive) dealing with some particular topic;['discussion', 'treatment', 'discourse'];['consideration.n.03', 'detail.n.03', 'dilation.n.01', 'expansion.n.03', 'talk.n.02'];['communication.n.01'];[]
