WORD;DEFINITION;LEMMAS;HYPONYMS;HYPERNYMS;HOLONYMS
landfill;a low area that has been filled in;['landfill'];['sanitary_landfill.n.01'];['lowland.n.01'];[]
waste;any materials unused and rejected as worthless or unwanted;['waste', 'waste_material', 'waste_matter', 'waste_product'];['body_waste.n.01', 'effluent.n.01', 'exhaust.n.01', 'filth.n.01', 'garbage.n.01', 'impurity.n.01', 'pollutant.n.01', 'rubbish.n.01', 'sewage.n.01', 'slop.n.03', 'toxic_waste.n.01'];['material.n.01'];[]
waste;useless or profitless activity, using or expending or consuming thoughtlessly or carelessly;['waste', 'wastefulness', 'dissipation'];['boondoggle.n.01', 'extravagance.n.03', 'squandering.n.01', 'waste_of_effort.n.01', 'waste_of_material.n.01', 'waste_of_money.n.01', 'waste_of_time.n.01'];['activity.n.01'];[]
waste;the trait of wasting resources;['thriftlessness', 'waste', 'wastefulness'];[];['improvidence.n.01'];[]
waste;an uninhabited wilderness that is worthless for cultivation;['barren', 'waste', 'wasteland'];['heath.n.02'];['wilderness.n.03'];[]
waste;(law) reduction in the value of an estate caused by act or neglect;['waste', 'permissive_waste'];[];['act.n.02'];[]
waste;spend thoughtlessly, throw away;['waste', 'blow', 'squander'];['burn.v.09'];['use.v.03'];[]
waste;use inefficiently or inappropriately;['waste'];[];['use.v.01'];[]
waste;get rid of;['waste'];[];['discard.v.01'];[]
waste;run off as waste;['waste', 'run_off'];[];['run.v.06'];[]
waste;get rid of (someone who may be a threat) by killing;['neutralize', 'neutralise', 'liquidate', 'waste', 'knock_off', 'do_in'];[];['kill.v.01'];[]
waste;spend extravagantly;['consume', 'squander', 'waste', 'ware'];['fritter.v.01', 'lavish.v.01', 'luxuriate.v.01', 'overspend.v.02', 'splurge.v.01'];['spend.v.02'];[]
waste;lose vigor, health, or flesh, as through grief;['pine_away', 'waste', 'languish'];[];['weaken.v.02'];[]
waste;cause to grow thin or weak;['waste', 'emaciate', 'macerate'];[];['enfeeble.v.01'];[]
waste;cause extensive destruction or ruin utterly;['lay_waste_to', 'waste', 'devastate', 'desolate', 'ravage', 'scourge'];['ruin.v.04'];['destroy.v.02'];[]
waste;become physically weaker;['waste', 'rot'];['necrose.v.01'];['devolve.v.03'];[]
waste;located in a dismal or remote area, desolate;['godforsaken', 'waste', 'wild'];[];[];[]
bottom;the lower side of anything;['bottom', 'underside', 'undersurface'];['base.n.19', 'bilge.n.02', 'heel.n.01', 'sole.n.01', 'underbelly.n.01'];['side.n.04'];[]
bottom;the lowest part of anything;['bottom'];['base.n.05', 'foot.n.03', 'rock_bottom.n.01'];['region.n.01'];[]
bottom;the fleshy part of the human body that you sit on;['buttocks', 'nates', 'arse', 'butt', 'backside', 'bum', 'buns', 'can', 'fundament', 'hindquarters', 'hind_end', 'keister', 'posterior', 'prat', 'rear', 'rear_end', 'rump', 'stern', 'seat', 'tail', 'tail_end', 'tooshie', 'tush', 'bottom', 'behind', 'derriere', 'fanny', 'ass'];[];['body_part.n.01'];[]
bottom;the second half of an inning, while the home team is at bat;['bottom', 'bottom_of_the_inning'];[];['turn.n.09'];[]
bottom;a depression forming the ground under a body of water;['bed', 'bottom'];['lake_bed.n.01', 'ocean_floor.n.01', 'riverbed.n.01', 'streambed.n.01'];['natural_depression.n.01'];[]
bottom;low-lying alluvial land near a river;['bottomland', 'bottom'];[];['land.n.02'];[]
bottom;a cargo ship;['bottom', 'freighter', 'merchantman', 'merchant_ship'];[];['cargo_ship.n.01'];[]
bottom;provide with a bottom or a seat;['bottom'];[];['supply.v.01'];[]
bottom;strike the ground, as with a ship's bottom;['bottom'];[];['hit.v.02'];[]
bottom;come to understand;['penetrate', 'fathom', 'bottom'];[];['understand.v.01'];[]
bottom;situated at the bottom or lowest position;['bottom'];[];[];[]
bottom;the lowest rank;['bottom'];[];[];[]
figure;a diagram or picture illustrating textual material;['figure', 'fig'];[];['illustration.n.01'];[]
figure;alternative names for the body of a human being;['human_body', 'physical_body', 'material_body', 'soma', 'build', 'figure', 'physique', 'anatomy', 'shape', 'bod', 'chassis', 'frame', 'form', 'flesh'];['adult_body.n.01', 'female_body.n.01', 'juvenile_body.n.01', 'male_body.n.01', 'person.n.02'];['body.n.01'];[]
figure;one of the elements that collectively form a system of numeration;['digit', 'figure'];['binary_digit.n.01', 'decimal_digit.n.01', 'duodecimal_digit.n.01', 'eight.n.01', 'five.n.01', 'four.n.01', 'hexadecimal_digit.n.01', 'nine.n.01', 'octal_digit.n.01', 'one.n.01', 'seven.n.01', 'significant_digit.n.01', 'six.n.01', 'three.n.01', 'two.n.01', 'zero.n.02'];['integer.n.01'];[]
figure;a model of a bodily form (especially of a person);['figure'];['dummy.n.03', 'figurehead.n.02', 'figurine.n.01', 'puppet.n.01', 'snowman.n.01'];['model.n.04'];[]
figure;a well-known or notable person;['name', 'figure', 'public_figure'];[];['important_person.n.01'];[]
figure;a combination of points and lines and planes that form a visible palpable shape;['figure'];['equilateral.n.01', 'parallel.n.03', 'pencil.n.03', 'plane_figure.n.01', 'solid_figure.n.01', 'subfigure.n.01'];['shape.n.02'];[]
figure;an amount of money expressed numerically;['figure'];[];['sum.n.01'];[]
figure;the impression produced by a person;['figure'];[];['impression.n.02'];[]
figure;the property possessed by a sum or total or indefinite quantity of units or individuals;['number', 'figure'];['fewness.n.01', 'innumerableness.n.01', 'majority.n.01', 'minority.n.02', 'numerousness.n.01', 'preponderance.n.02', 'roundness.n.02'];['amount.n.02'];[]
figure;language used in a figurative or nonliteral sense;['trope', 'figure_of_speech', 'figure', 'image'];['conceit.n.02', 'hyperbole.n.01', 'irony.n.03', 'kenning.n.01', 'metaphor.n.01', 'metonymy.n.01', 'oxymoron.n.01', 'personification.n.02', 'simile.n.01', 'synecdoche.n.01', 'zeugma.n.01'];['rhetorical_device.n.01'];[]
figure;a unitary percept having structure and coherence that is the object of attention and that stands out against a ground;['figure'];[];['percept.n.01'];[]
figure;a decorative or artistic work;['design', 'pattern', 'figure'];['argyle.n.02', 'bear_claw.n.02', 'damascene.n.02', 'decal.n.01', 'device.n.04', 'emblem.n.01', 'herringbone.n.02', 'linocut.n.02', 'mandala.n.01', 'marking.n.02', 'mihrab.n.01', 'motif.n.01', 'polka_dot.n.01', 'pyrograph.n.01', 'screen_saver.n.01', 'sunburst.n.02', 'tattoo.n.02', 'tetraskelion.n.01', 'triskelion.n.01', 'weave.n.01'];['decoration.n.01'];[]
