pack,materi
remov,effici
pressur,drop
load,rate
biotrickl,filter
wood,chip
elimin,capac
fluidiz,bioreactor
glass,sphere
wastewat,treatment
flow,rate
peat,granul
polyurethan,foam
long,term
influent,effluent
moistur,content
surfac,area
sand,bioreactor
mass,transfer
fix,medium
organ,matter
sulfat,reduc
medium,bioreactor
carrier,materi
inlet,load
activ,carbon
hydrogen,sulfid
superfici,veloc
wast,manag
carbon,sourc
resid,time
desulfovibrio,desulfurican
pilot,scale
volumetr,product
organ,load
nitrogen,concentr
sulfat,reduct
binari,mixtur
feed,rate
effluent,remov
inlet,concentr
particl,size
biofilt,pack
reduc,bacteria
oper,condit
influent,concentr
filter,medium
biomass,concentr
minimum,fluidiz
steadi,state
